"ID","quadratic","cubic","Briere","Schoolfield","Best_fit","consumer","trait_name","BIC","habitat","location"
1,15.0258357644777,5.98041912891812,NA,1.08458076234846,"Schoolfield","pueraria lobata","net photosynthesis rate",13.4635874142141,"terrestrial","maryland, usa"
2,2.09933559975858,2.0694796152201,NA,-20.4441594027715,"Schoolfield","pueraria lobata","net photosynthesis rate",0.537087249494983,"terrestrial","maryland, usa"
3,-0.810193053124859,-3.0502549988895,-1.63789305566856,NA,"cubic","pocillopora damicornis","gross photosynthesis rate",0.400147318851324,"marine","hawaii, usa"
4,-12.4702338325309,-12.6684390325115,-14.8435202909066,NA,"Briere","pocillopora damicornis","gross photosynthesis rate",-12.6865932363096,"marine","enewetak atoll, marshall islands"
5,-20.6045923266502,-19.0712213652017,NA,NA,"quadratic","pocillopora damicornis","respiration rate",-18.6649657274982,"marine","hawaii, usa"
6,-24.8061618169965,-22.9412310170279,-24.2233326072973,NA,"quadratic","pocillopora damicornis","respiration rate",-24.4883956502772,"marine","enewetak atoll, marshall islands"
7,-4.37298614836167,-6.76418576172631,NA,-2.95358418456482,"cubic","citrus limon","net photosynthesis rate",-5.93523449862527,"terrestrial","illinois, usa"
8,-1.93445415914899,0.00316848574791351,NA,-4.2120036095829,"Schoolfield","gossypium barbadense","net photosynthesis rate",-1.61668799242965,"terrestrial","arizona, usa"
9,53.0264515394065,53.8960815943385,NA,NA,"quadratic","gossypium barbadense","net photosynthesis rate",54.6180326306,"terrestrial","arizona, usa"
10,67.1442692297742,69.1402019988406,67.4376147288671,69.1462848609393,"quadratic","gossypium barbadense","net photosynthesis rate",68.7358503209677,"terrestrial","arizona, usa"
11,-3.09712585570181,-9.97226408132628,-7.46400309217967,-7.47704550076821,"cubic","zostera marina","net photosynthesis rate",-2.77935968898247,"marine","great harbor, woods hole, massachusetts, usa"
12,-21.3687168693832,-19.9032641337179,-22.4491113708449,-17.6085655766884,"Briere","zostera marina","respiration rate",-21.0509507026638,"marine","great harbor, woods hole, massachusetts, usa"
13,99.8470163116401,77.9704509778445,NA,75.365518860052,"Schoolfield","cenchrus ciliaris","net photosynthesis rate",102.403245630101,"terrestrial","queensland, australia"
14,44.914885690889,46.1741808223155,NA,NA,"quadratic","cenchrus ciliaris","respiration rate",46.1252260628652,"terrestrial","queensland, australia"
15,68.8006002032986,64.204844409709,NA,72.6285197055153,"cubic","calopogonium mucunoides","net photosynthesis rate",71.8909550922577,"terrestrial","queensland, australia"
16,46.1507759036453,47.285193548735,45.5648349984409,48.849271187227,"Briere","calopogonium mucunoides","respiration rate",47.3611162756215,"terrestrial","queensland, australia"
17,25.0248590511247,17.1210817248302,11.6256715571736,17.3422251528576,"Briere","collema tenax","net photosynthesis rate",24.8084996473459,"terrestrial","moab, utah, usa"
18,-5.90457663284501,-4.77985627292929,NA,NA,"quadratic","collema tenax","respiration rate",-6.12093603662376,"terrestrial","moab, utah, usa"
19,9.93678907608551,9.47741460616073,NA,13.271888502787,"cubic","psora cerebriformis","net photosynthesis rate",9.72042967230676,"terrestrial","moab, utah, usa"
20,-8.45476820232177,-8.62575974831616,NA,NA,"cubic","psora cerebriformis","respiration rate",-8.13700203560243,"terrestrial","moab, utah, usa"
21,-12.451036286799,-10.5571437613117,NA,-10.3661981565646,"quadratic","diploschistes diacapsis","net photosynthesis rate",-12.6673956905777,"terrestrial","moab, utah, usa"
22,-9.02005632512598,-13.4143201910833,NA,-16.9391841069119,"Schoolfield","diploschistes diacapsis","respiration rate",-9.23641572890473,"terrestrial","moab, utah, usa"
23,25.3210790489602,26.467229783928,NA,NA,"quadratic","deschampsia antarctica","net photosynthesis rate",25.1047196451814,"terrestrial","stepping stone islands, west coast of antarctic peninsula"
24,18.3404958013221,7.45159315449946,NA,25.1332796001006,"cubic","larrea tridentata","net photosynthesis rate",18.1241363975433,"terrestrial","phoenix arizona"
25,77.6175301021527,79.3687524599297,NA,88.0025233698897,"quadratic","spinacia oleracea","gross photosynthesis rate",79.5571567013047,"terrestrial","dusseldorf, germany"
26,-31.2429311644854,-30.8974893928787,NA,NA,"quadratic","cladophora glomerata","gross photosynthesis rate",-32.0758932875732,"freshwater","lake huron, harbor beach, michigan, usa"
28,-38.6982646287416,-39.1444793031347,NA,NA,"cubic","cladophora glomerata","respiration rate",-38.3804984620222,"freshwater","lake huron, harbor beach, michigan, usa"
29,-46.4967153934537,-45.7187289498669,NA,-45.9787588573191,"quadratic","cladophora glomerata","gross photosynthesis rate",-46.1789492267344,"freshwater","lake huron, harbor beach, michigan, usa"
31,-51.9833820689376,-55.8612367021683,NA,NA,"cubic","cladophora glomerata","respiration rate",-51.6656159022182,"freshwater","lake huron, harbor beach, michigan, usa"
32,-18.2350314654321,-24.0786230361924,NA,NA,"cubic","cladophora glomerata","gross photosynthesis rate",-17.9172652987127,"freshwater","lake huron, harbor beach, michigan, usa"
33,-15.1337731507978,-Inf,-22.0486753750114,-261.098336089416,"cubic","cladophora glomerata","net photosynthesis rate",-17.5885957063183,"freshwater","lake huron, harbor beach, michigan, usa"
